채용사이트명,채용사이트_공고id,직무_대분류,직무_소분류,경력사항,회사명,근무지역(회사주소),회사로고이미지,공고제목,공고본문_타입,공고본문_raw,공고출처url,모집시작일,모집마감일,공고게시일,공고본문
자소설,96815,IT/인터넷,임시,임시,한국표준협회,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/000/782/webp/%EC%95%B0%EB%B8%94%EB%9F%BC1.webp?1684485266,2025년 1차 기간제 근로자 공개채용,img,,https://recruit.incruit.com/ksa,2025-02-20T16:00:00.000+09:00,2025-03-07T23:59:00.000+09:00,2025-02-20T15:48:13.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/090/webp/%EC%99%B8%EB%B6%80_%ED%95%9C%EA%B5%AD%ED%91%9C%EC%A4%80%ED%98%91%ED%9A%8C.webp?1740033929
자소설,96812,IT/인터넷,임시,임시,국민건강보험공단(h·well),임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/000/221/webp/0003929092_%EA%B5%AD%EB%AF%BC%EA%B1%B4%EA%B0%95%EB%B3%B4%ED%97%98%EA%B3%B5%EB%8B%A8_185x72_%281%29.webp?1684484671,2025년도 상반기 신규직원 채용,img,,https://nhis.incruit.com/main/main.asp,2025-02-25T00:00:00.000+09:00,2025-03-06T17:00:00.000+09:00,2025-02-20T13:57:04.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/295/553/webp/%E1%84%80%E1%85%A5%E1%86%AB%E1%84%87%E1%85%A925_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC.webp?1740378623
자소설,96810,IT/인터넷,임시,임시,비츠로그룹,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/002/867/webp/%EB%B9%84%EC%B8%A0%EB%A1%9C-3%EC%83%89_%EB%8C%80%ED%91%9C_%EC%83%81%EC%A7%95.webp?1740020694,2025년 상반기 신입 공채,img,,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=50032140&view_type=etc,2025-02-20T08:42:00.000+09:00,2025-02-28T23:59:00.000+09:00,2025-02-20T11:36:03.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/970/webp/1.webp?1740011856
자소설,96808,IT/인터넷,임시,임시,디케이씨,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/005/498/webp/%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2017-07-03_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_5.32.54.webp?1684487001,DKC 해외영업팀/IT운영팀 대졸 신입/경력 사원 채용,img,,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=d3BsT0Rncm5MZWVwdVdmWlFBYVI0UT09,2025-02-20T11:00:00.000+09:00,2025-03-09T23:59:00.000+09:00,2025-02-20T11:15:57.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/986/webp/250220_%EC%B1%84%EC%9A%A9%ED%95%A9%EB%B3%B8.webp?1740016037
자소설,96807,IT/인터넷,임시,임시,파수,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/002/728/webp/Fasoo_Logo_main_300.webp?1684485985,25년 1차 신입 공개 채용,img,,https://recruit.fasoo.com,2025-02-24T00:00:00.000+09:00,2025-03-09T23:59:00.000+09:00,2025-02-20T11:12:48.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/995/webp/01._main.webp?1740016907
자소설,96806,IT/인터넷,임시,임시,깨끗한나라,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/479/webp/img_%2824%29.webp?1702368882,2025년 1분기 수시채용,img,,,2025-02-18T00:00:00.000+09:00,2025-03-04T23:59:00.000+09:00,2025-02-20T09:48:04.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/977/webp/1%EB%B6%84%EA%B8%B0_IT%EA%B8%B0%ED%9A%8D%ED%8C%80_%EB%B2%95%EB%AC%B4%ED%8C%8C%ED%8A%B8_%EA%B2%BD%EC%98%81%EA%B8%B0%ED%9A%8D%ED%8C%80_%EC%A0%9C%EC%A7%80%EC%83%9D%EC%82%B0%ED%8C%80_%EC%88%98%EC%8B%9C%EC%B1%84%EC%9A%A9%EA%B3%B5%EA%B3%A0.webp?1740012324
자소설,96802,IT/인터넷,임시,임시,이노션,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/070/webp/b8334c4c-879f-430c-801c-b6bf52bd29c7.webp?1692252021,CX플래닝,img,,https://innocean.recruiter.co.kr/career/jobs/46051,2025-02-20T08:44:00.000+09:00,2025-03-03T23:59:00.000+09:00,2025-02-20T08:55:37.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/955/webp/%28%ED%94%84%EA%B3%84%29_CX%ED%94%8C%EB%9E%98%EB%8B%9D.webp?1740008793
자소설,96801,IT/인터넷,임시,임시,이노션,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/070/webp/b8334c4c-879f-430c-801c-b6bf52bd29c7.webp?1692252021,플랫폼 기획/운영 (UX/UI),img,,https://innocean.recruiter.co.kr/career/jobs/46144,2025-02-20T08:43:00.000+09:00,2025-03-03T23:59:00.000+09:00,2025-02-20T08:52:44.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/980/webp/UI).webp?1740013438
자소설,96794,IT/인터넷,임시,임시,윈스,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/003/239/webp/%EC%9C%88%EC%8A%A4_%EA%B8%B0%EC%97%85%EB%A1%9C%EA%B3%A0.webp?1684486178,사이버 보안 전문인력 양성과정 교육생 6기 모집(부산),img,,https://wins21.recruiter.co.kr/career/home,2025-02-19T15:11:00.000+09:00,2025-03-05T23:59:00.000+09:00,2025-02-19T15:29:38.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/903/webp/%ED%8F%AC%EC%8A%A4%ED%84%B0_240219_6%EA%B8%B0_%EB%B6%80%EC%82%B0_%EA%B5%90%EC%9C%A1%EC%83%9D_v3.0.webp?1739945785
자소설,96789,IT/인터넷,임시,임시,이노션,임시,https://daoift3qrrnil.cloudfront.net/company_groups/images/000/001/070/webp/b8334c4c-879f-430c-801c-b6bf52bd29c7.webp?1692252021,Data Analyst (데이터 분석),img,,https://innocean.recruiter.co.kr/career/jobs/46118,2025-02-19T11:01:00.000+09:00,2025-03-03T23:59:00.000+09:00,2025-02-19T11:31:16.000+09:00,https://daoift3qrrnil.cloudfront.net/content_images/images/000/294/815/webp/%28%ED%94%84%EA%B3%84%29_Data_Analyst_%28%EB%8D%B0%EC%9D%B8%29.webp?1739930589
